year,data_mean_global,data_mean_nh,data_mean_sh
2015,328.179647917923,328.47626327702,327.883032558826
2016,329.075974765932,329.363317500933,328.788632030931
2017,329.776975718517,330.064316994849,329.489634442186
2018,330.507974734435,330.795315852555,330.220633616315
2019,331.22797506215,331.515316868023,330.940633256277
2020,331.936975137666,332.224317340801,331.649632934532
2021,332.634975149496,332.922318040493,332.347632258499
2022,333.309975271555,333.597319691652,333.022630851459
2023,333.947975689194,334.235321892375,333.660629486013
2024,334.548976075398,334.836323886785,334.261628264011
2025,335.114976404886,335.402325867483,334.827626942289
2026,335.644976783345,335.932327882858,335.357625683832
2027,336.139977129749,336.427329823016,335.852624436483
2028,336.599977477259,336.88733180884,336.312623145679
2029,337.024977837539,337.312333729811,336.737621945267
2030,337.414978170981,337.702335774939,337.127620567022
2031,337.770978668036,338.058337536381,337.48361979969
2032,338.10897894351,338.396338144964,337.821619742056
2033,338.442978931926,338.730338278624,338.155619585228
2034,338.773978996047,339.061338414361,338.486619577732
2035,339.102978970402,339.390338571951,338.815619368853
2036,339.427979059764,339.715338770009,339.140619349519
2037,339.750979039924,340.038338892569,339.463619187278
2038,340.070979109638,340.358339030568,339.783619188709
2039,340.388979073804,340.676339196031,340.101618951577
2040,340.702979190273,340.990339366914,340.415619013633
2041,341.015979105126,341.303339449015,340.728618761238
2042,341.322979207044,341.610339860311,341.035618553776
2043,341.623979252223,341.91134017613,341.336618328317
2044,341.918979321781,342.206340511274,341.631618132288
2045,342.207979362279,342.495340864058,341.9206178605
2046,342.489979454403,342.777341258691,342.202617650114
2047,342.765979504954,343.053341576051,342.478617433858
2048,343.035979568034,343.323341919459,342.74861721661
2049,343.299979627981,343.587342252159,343.012617003802
2050,343.557979685658,343.845342593036,343.270616778279
2051,343.809979757425,344.097342922238,343.522616592613
2052,344.056979812286,344.344343179822,343.76961644475
2053,344.299979858247,344.587343388714,344.01261632778
2054,344.539979894669,344.827343531229,344.252616258108
2055,344.776979882936,345.064343737308,344.489616028565
2056,345.008980000771,345.296344014981,344.721615986562
2057,345.238979961592,345.526344079485,344.951615843699
2058,345.464980025973,345.752344368101,345.177615683846
2059,345.686980070727,345.974344558379,345.399615583075
2060,345.905980093679,346.193344721821,345.618615465538
2061,346.1219801396,346.409344886376,345.834615392824
2062,346.335980153371,346.623344976277,346.048615330465
2063,346.54798016737,346.8353451041,346.260615230641
2064,346.75798022508,347.045345193209,346.470615256951
2065,346.967980172547,347.255345171448,346.680615173646
2066,347.175980238952,347.463345331448,346.888615146456
2067,347.382980204485,347.670345351099,347.09561505787
2068,347.587980279939,347.875345491852,347.300615068026
2069,347.792980225155,348.080345438198,347.505615012112
2070,347.995980266757,348.283345628373,347.70861490514
2071,348.19698031129,348.484345690493,347.909614932087
2072,348.397980261419,348.685345677138,348.110614845701
2073,348.596980343155,348.884345835868,348.309614850442
2074,348.795980278112,349.083345769751,348.508614786474
2075,348.992980352204,349.28034596273,348.705614741679
2076,349.188980313109,349.476345954979,348.901614671239
2077,349.382980389402,349.670346121427,349.095614657377
2078,349.576980346296,349.864346040903,349.289614651688
2079,349.769980366181,350.057346171131,349.482614561232
2080,349.960980389735,350.248346266984,349.673614512485
2081,350.150980423848,350.438346301357,349.863614546338
2082,350.341980395548,350.629346203743,350.054614587353
2083,350.533980408347,350.821346170325,350.246614646368
2084,350.727980377043,351.015346016197,350.440614737888
2085,350.923980347714,351.211345931535,350.636614763893
2086,351.120980359606,351.408345885009,350.833614834203
2087,351.319980310655,351.607345739951,351.032614881357
2088,351.519980331247,351.807345732608,351.232614929886
2089,351.72198029444,352.009345559658,351.434615029222
2090,351.925980268928,352.21334548843,351.638615049426
2091,352.130980282293,352.418345433513,351.843615131072
2092,352.337980204701,352.625345292635,352.050615116766
2093,352.543980280418,352.83134545813,352.256615102706
2094,352.750980212017,353.038345265784,352.463615158249
2095,352.957980266018,353.245345392706,352.67061513933
2096,353.165980206166,353.453345214106,352.878615198226
2097,353.373980241329,353.66134533498,353.086615147677
2098,353.581980214033,353.869345245278,353.294615182789
2099,353.789980248074,354.077345313811,353.502615182337
2100,353.998980217638,354.286345269041,353.711615166235
2101,354.207980204994,354.495345167034,353.920615242953
2102,354.415980205763,354.703345394715,354.12861501681
2103,354.620980245576,354.908345428377,354.333615062774
2104,354.823980246541,355.111345679633,354.536614813449
2105,355.022980309956,355.3103458009,354.735614819011
2106,355.219980314194,355.507345977735,354.932614650652
2107,355.413980357933,355.701346089009,355.126614626857
2108,355.605980364621,355.893346243161,355.318614486082
2109,355.794980398825,356.082346386257,355.507614411392
2110,355.980980427054,356.268346598877,355.693614255231
2111,356.163980468632,356.451346704039,355.876614233225
2112,356.344980473496,356.632346863303,356.05761408369
2113,356.522980519255,356.810347000214,356.235614038297
2114,356.698980524642,356.98634712177,356.411613927515
2115,356.87198055828,357.15934730925,356.58461380731
2116,357.041980597535,357.329347461414,356.754613733656
2117,357.20998061532,357.497347553041,356.9226136776
2118,357.37598062538,357.663347685691,357.08861356507
2119,357.538980658571,357.826347866124,357.251613451017
2120,357.698980697124,357.986348027736,357.411613366513
2121,357.856980717116,358.144348104055,357.569613330178
2122,358.012980722387,358.300348263688,357.725613181085
2123,358.165980772078,358.453348399786,357.87861314437
2124,358.316980772552,358.604348531313,358.029613013791
2125,358.464980819287,358.752348698704,358.17761293987
2126,358.610980836506,358.898348783506,358.323612889507
2127,358.754980843805,359.042348924935,358.467612762675
2128,358.895980889085,359.183349091584,358.608612686587
2129,359.034980907331,359.322349174716,358.747612639947
2130,359.171980912588,359.45934932063,358.884612504546
2131,359.305980961651,359.593349476364,359.018612446937
2132,359.437980972663,359.725349583319,359.150612362007
2133,359.567980999264,359.855349684495,359.280612314034
2134,359.695981002344,359.983349821241,359.408612183447
2135,359.820981051272,360.108349985677,359.533612116867
2136,359.943981065044,360.231350080014,359.656612050075
2137,360.064981083862,360.352350204798,359.777611962927
2138,360.183981111457,360.471350296489,359.896611926424
2139,360.300981106696,360.588350448486,360.013611764906
2140,360.414981180456,360.70235057978,360.127611781133
2141,360.527981142395,360.815350645936,360.240611638855
2142,360.637981207432,360.925350828527,360.350611586337
2143,360.745981207871,361.033350930266,360.458611485476
2144,360.851981254964,361.139351021855,360.564611488073
2145,360.956981225015,361.244351092174,360.669611357857
2146,361.058981283816,361.346351284794,360.771611282838
2147,361.15898129823,361.446351361031,360.871611235429
2148,361.256981298746,361.54435150674,360.969611090752
2149,361.351981368272,361.639351658022,361.064611078521
2150,361.445981345661,361.733351692428,361.158610998894
2151,361.537981381784,361.825351828906,361.250610934662
2152,361.627981389794,361.915351939342,361.340610840246
2153,361.715981435978,362.003352034676,361.428610837279
2154,361.802981402803,362.090352097562,361.515610708044
2155,361.88698146936,362.174352293635,361.599610645085
2156,361.96898146677,362.256352380539,361.681610553002
2157,362.048981518491,362.33635248703,361.761610549953
2158,362.127981478711,362.415352545139,361.840610412284
2159,362.203981563799,362.491352738715,361.916610388882
2160,362.278981533413,362.566352747636,361.991610319189
2161,362.35198157213,362.639352901726,362.064610242534
2162,362.42298158527,362.710352994993,362.135610175547
2163,362.491981604658,362.77935311791,362.204610091405
2164,362.55898164,362.846353218852,362.271610061148
2165,362.624981634292,362.912353258327,362.337610010257
2166,362.688981637117,362.976353413481,362.401609860753
2167,362.749981729063,363.037353564248,362.462609893878
2168,362.810981647076,363.09835351935,362.523609774802
2169,362.868981751337,363.15635377013,362.581609732544
2170,362.925981708623,363.213353742124,362.638609675123
2171,362.980981756947,363.26835391976,362.693609594135
2172,363.033981759039,363.321354000577,362.746609517501
2173,363.084981805634,363.37235412362,362.797609487648
2174,363.134981782649,363.422354153892,362.847609411405
2175,363.182981841496,363.470354299351,362.895609383641
2176,363.229981797587,363.517354319733,362.942609275441
2177,363.273981885015,363.561354553681,362.986609216348
2178,363.316981864467,363.604354520532,363.029609208402
2179,363.358981877702,363.646354628794,363.07160912661
2180,363.398981897624,363.68635473776,363.111609057487
2181,363.436981914688,363.724354852649,363.149608976726
2182,363.47298195272,363.760354960559,363.185608944882
2183,363.507981935239,363.79535499395,363.220608876528
2184,363.540981988175,363.828355145235,363.253608831115
2185,363.572981962119,363.860355151341,363.285608772898
2186,363.602982019784,363.890355321063,363.315608718506
2187,363.631981993714,363.919355313461,363.344608673967
2188,363.658982034444,363.946355495284,363.371608573603
2189,363.683982053891,363.971355561469,363.396608546312
2190,363.707982066268,363.99535561838,363.420608514156
2191,363.730982062087,364.018355674025,363.443608450149
2192,363.751982089586,364.039355816522,363.464608362649
2193,363.770982117132,364.058355907765,363.483608326499
2194,363.788982124181,364.07635594796,363.501608300402
2195,363.805982123747,364.093356014878,363.518608232615
2196,363.820982148889,364.108356150209,363.533608147569
2197,363.833982177668,364.121356246044,363.546608109293
2198,363.845982184096,364.133356282685,363.558608085507
2199,363.856982182112,364.14435635231,363.569608011915
2200,363.865982217323,364.153356457786,363.57860797686
