year,data_mean_global,data_mean_nh,data_mean_sh
2015,1841.94596230683,1889.72650593126,1794.16541868241
2016,1851.59406711725,1900.63171225962,1802.55642197487
2017,1873.68919607774,1921.27253778301,1826.10585437247
2018,1886.66096690514,1934.03728723821,1839.28464657206
2019,1898.59055955958,1946.02092412575,1851.16019499342
2020,1909.54056000931,1957.04007351953,1862.0410464991
2021,1919.56061024928,1967.212010393,1871.90921010556
2022,1929.57075765735,1977.38725321355,1881.75426210116
2023,1940.41077641362,1988.39208808972,1892.42946473751
2024,1952.01082172367,2000.15705598888,1903.86458745846
2025,1964.32085613258,2012.6320244392,1916.00968782596
2026,1977.28088870172,2025.75703239706,1928.80474500639
2027,1990.84092197733,2039.48205978049,1942.19978417418
2028,2004.95094409779,2053.75711952716,1956.14476866843
2029,2019.56098093075,2068.53219458117,1970.58976728034
2030,2034.630982227,2083.77848039481,1985.48348405919
2031,2050.11107545767,2099.50185987485,2000.7202910405
2032,2066.46119117237,2116.10609283876,2016.81628950599
2033,2084.0512444818,2133.95015203031,2034.15233693329
2034,2102.80130850399,2152.95430516309,2052.6483118449
2035,2122.62135553017,2173.02849272685,2072.21421833349
2036,2143.41141365707,2194.07273401306,2092.75009330107
2037,2165.09144012965,2216.0070188009,2114.17586145841
2038,2187.58152301008,2238.75133403683,2136.41171198333
2039,2210.8214686443,2262.24569918137,2159.39723810723
2040,2234.73171895482,2286.27673674385,2183.18670116579
2041,2259.24097289533,2310.10740523803,2208.37454055263
2042,2278.76980501316,2328.82854965688,2228.71106036944
2043,2288.11946653881,2337.37243936228,2238.86649371534
2044,2288.04895414711,2336.49502076836,2239.60288752587
2045,2279.24853825133,2326.88755158208,2231.60952492058
2046,2262.34813576827,2309.17966785943,2215.51660367711
2047,2237.95776909633,2283.98150054339,2191.93403764926
2048,2206.61741207446,2251.83305400266,2161.40177014626
2049,2168.84713095116,2213.25434875294,2124.43991314938
2050,2125.10671816304,2168.77148076402,2081.44195556207
2051,2075.84687343801,2119.16524223281,2032.52850464321
2052,2024.44724245499,2067.48281582236,1981.41166908762
2053,1974.04721027575,2016.79871119147,1931.29570936002
2054,1924.60727988129,1967.07517689099,1882.13938287159
2055,1876.05730850378,1918.24147688438,1833.87314012318
2056,1828.34735266254,1870.24787927276,1786.44682605233
2057,1781.44738807481,1823.06426239426,1739.83051375537
2058,1735.30741330311,1776.64068410573,1693.9741425005
2059,1689.86746293575,1730.91714550651,1648.81778036499
2060,1645.10744149092,1685.89966181447,1604.31522116736
2061,1600.9676478658,1641.65887760856,1560.27641812304
2062,1558.61791491374,1599.23331037978,1518.00251944769
2063,1519.11802043851,1559.65718566107,1478.57885521595
2064,1482.25815877962,1522.7214066917,1441.79491086755
2065,1447.8482654511,1488.23561460335,1407.46091629885
2066,1415.68837349064,1455.99997972989,1375.3767672514
2067,1385.60847178729,1425.84440417492,1345.37253939965
2068,1357.45855901001,1397.61891225222,1317.2982057678
2069,1331.07864504295,1371.16350606226,1290.99378402363
2070,1306.33871273511,1346.35347438366,1266.32395108656
2071,1283.09880783464,1323.07547469631,1243.12214097297
2072,1261.40890421342,1301.35272229878,1221.46508612805
2073,1241.30897398066,1281.21995256153,1201.39799539978
2074,1222.66904639812,1262.54728465068,1182.79080814556
2075,1205.38910856111,1245.23464305034,1165.54357407188
2076,1189.35916500562,1229.17207190584,1149.54625810539
2077,1174.46922019469,1214.24955390196,1134.68888648743
2078,1160.63926777902,1200.38707083153,1120.8914647265
2079,1147.77931434213,1187.49464174599,1108.06398693827
2080,1135.81935599388,1175.50230966139,1096.13640232638
2081,1124.67938530464,1164.33043631416,1085.02833429512
2082,1114.22940730757,1153.84870846685,1074.61010614829
2083,1104.34943531021,1143.9370455562,1064.76182506422
2084,1094.99946023378,1134.5553855929,1055.44353487467
2085,1086.13947862448,1125.6637522625,1046.61520498645
2086,1077.70950277907,1117.20215742599,1038.21684813215
2087,1069.69952134176,1109.16054957157,1030.23849311195
2088,1062.06953224722,1101.49897408462,1022.64009040981
2089,1054.76956788556,1094.16744237793,1015.37169339319
2090,1047.90959762468,1087.27628422027,1008.5429110291
2091,1041.52961849833,1080.86803675275,1002.19120024391
2092,1035.58964356706,1074.90029072582,996.278996408304
2093,1030.07965748024,1069.3625361654,990.79677879508
2094,1024.92967261291,1064.1848428631,985.674502362715
2095,1020.09968851893,1059.32714992268,980.872227115171
2096,1015.56969809809,1054.76947224637,976.369923949819
2097,1011.28970958937,1050.46182683698,972.117592341768
2098,1007.23972016759,1046.38418124589,968.095259089295
2099,1003.39972579602,1042.5165497355,964.282901856531
2100,999.727733415768,1038.81978148626,960.635685345278
2101,996.220753399661,1035.30503401167,957.136472787653
2102,992.972782985339,1032.05205132964,953.893514641034
2103,990.068796328441,1029.14303577186,950.994556885024
2104,987.472809173431,1026.54204916556,948.403569181305
2105,985.148821271394,1024.21307716871,946.08456537408
2106,983.068831386035,1022.128121617,944.00954115507
2107,981.20484076642,1020.25918020673,942.150501326108
2108,979.533849009778,1018.58324805979,940.484449959769
2109,978.034856334864,1017.0793265777,938.990386092032
2110,976.688862714681,1015.72841676815,937.649308661211
2111,975.477868307489,1014.51251652088,936.443220094103
