year,data_mean_global,data_mean_nh,data_mean_sh
2015,328.179595282954,328.476210668316,327.882979897593
2016,329.075974831571,329.36331750535,328.788632157791
2017,329.784975773873,330.07231625384,329.497635293907
2018,330.540974574086,330.828314166191,330.253634981982
2019,331.301974758636,331.589314244231,331.014635273041
2020,332.067974655678,332.355313912131,331.780635399224
2021,332.838974630959,333.126313605734,332.551635656185
2022,333.615974550136,333.903313291438,333.328635808834
2023,334.397974517492,334.685313004207,334.110636030777
2024,335.185974452633,335.473312650981,334.898636254284
2025,335.979974384136,336.267312324693,335.69263644358
2026,336.778974333732,337.066312075061,336.491636592402
2027,337.582974299444,337.870311754072,337.295636844816
2028,338.392974218387,338.680311442134,338.10563699464
2029,339.207974188657,339.495311150552,338.920637226762
2030,340.028974113226,340.316310805564,339.741637420888
2031,340.854974042523,341.14231055489,340.567637530156
2032,341.682973995391,341.970310530369,341.395637460412
2033,342.509974024852,342.797310590593,342.22263745911
2034,343.335974011305,343.623310675731,343.04863734688
2035,344.159974064847,344.447310768788,343.872637360905
2036,344.983974046047,345.27131073675,344.696637355344
2037,345.80697404015,346.094310857294,345.519637223006
2038,346.627974103628,346.91531091541,346.340637291846
2039,347.448974049183,347.736310949079,347.161637149287
2040,348.267974128393,348.555311034271,347.980637222515
2041,349.086974050608,349.374311049348,348.799637051868
2042,349.900974102971,350.188311446535,349.613636759406
2043,350.707974200745,350.995311805696,350.420636595794
2044,351.508974213145,351.796312175022,351.221636251269
2045,352.301974349421,352.589312611061,352.01463608778
2046,353.088974352166,353.376312948387,352.801635755945
2047,353.867974485406,354.1553134091,353.580635561712
2048,354.640974511663,354.928313711021,354.353635312305
2049,355.406974589688,355.694314142537,355.119635036839
2050,356.165974678283,356.453314501935,355.878634854631
2051,356.918974696262,357.206314849072,356.631634543453
2052,357.662974781168,357.950315425573,357.375634136764
2053,358.395974899305,358.683316053003,358.108633745609
2054,359.11797500216,359.405316670369,358.830633333951
2055,359.828975131877,360.116317275995,359.541632987759
2056,360.529975209717,360.817317827052,360.242632592383
2057,361.219975327813,361.507318471112,360.932632184514
2058,361.898975447587,362.186319070582,361.611631824592
2059,362.567975544724,362.855319614648,362.2806314748
2060,363.226975633919,363.514320187569,362.939631080268
2061,363.874975743833,364.162320821965,363.587630665702
2062,364.510975838998,364.798321521068,364.223630156929
2063,365.132975994224,365.420322338875,364.845629649574
2064,365.740976127699,366.028323109414,365.453629145985
2065,366.334976272181,366.622323900072,366.04762864429
2066,366.914976406334,367.202324684861,366.627628127807
2067,367.480976567066,367.76832546274,367.193627671392
2068,368.033976669034,368.321326177718,367.746627160349
2069,368.572976839082,368.860326988173,368.285626689992
2070,369.098976947682,369.386327680919,368.811626214445
2071,369.610977064517,369.898328517635,369.3236256114
2072,370.105977228372,370.393329524257,369.818624932487
2073,370.581977406959,370.869330617596,370.294624196322
2074,371.037977636695,371.325331743296,370.750623530094
2075,371.474977773553,371.762332790762,371.187622756344
2076,371.890978062049,372.17833401756,371.603622106539
2077,372.288978163462,372.576334929965,372.001621396959
2078,372.666978441778,372.954336149628,372.379620733929
2079,373.026978546358,373.314337056995,372.739620035721
2080,373.366978812593,373.654338286069,373.079619339117
2081,373.688978978688,373.976339175425,373.401618781951
2082,373.994979153356,374.282340086887,373.707618219825
2083,374.28597931961,374.573340887799,373.99861775142
2084,374.56397944183,374.851341584543,374.276617299117
2085,374.828979560634,375.1163423345,374.541616786769
2086,375.079979724218,375.367343132907,374.792616315529
2087,375.31797982452,375.605343826308,375.030615822732
2088,375.541979997033,375.829344661413,375.254615332652
2089,375.752980104144,376.040345328966,375.465614879323
2090,375.950980263924,376.238346097141,375.663614430708
2091,376.136980352741,376.424346714309,375.849613991172
2092,376.309980499209,376.597347510858,376.02261348756
2093,376.469980645911,376.757348192555,376.182613099267
2094,376.618980732821,376.906348781559,376.331612684082
2095,376.755980868518,377.043349503848,376.468612233188
2096,376.880980976107,377.168350141339,376.593611810875
2097,376.993981119478,377.281350840231,376.706611398725
2098,377.095981201761,377.383351405493,376.80861099803
2099,377.185981338207,377.473352148432,376.898610527981
2100,377.263981464571,377.551352687607,376.976610241535
2101,377.331981586494,377.619353415105,377.044609757882
2102,377.391981718018,377.679353581286,377.10460985475
2103,377.450981703708,377.738353704903,377.163609702514
2104,377.507981726613,377.79535373554,377.220609717686
2105,377.56298173838,377.850353964505,377.275609512255
2106,377.614981789173,377.90235402057,377.327609557776
2107,377.665981783249,377.953354149839,377.378609416659
2108,377.714981817981,378.002354192491,377.427609443471
2109,377.762981804062,378.050354305559,377.475609302565
2110,377.807981850776,378.095354473022,377.520609228531
2111,377.850981876243,378.138354562178,377.563609190308
2112,377.892981874882,378.180354594962,377.605609154802
2113,377.932981895681,378.220354780884,377.645609010478
2114,377.970981930406,378.258354791851,377.68360906896
2115,378.007981910506,378.295354952505,377.720608868507
2116,378.041981974638,378.329355042782,377.754608906494
2117,378.074981959524,378.362355151243,377.787608767804
2118,378.105982002206,378.39335520375,377.818608800663
2119,378.135981980742,378.423355320081,377.848608641403
2120,378.162982042166,378.450355471514,377.875608612819
2121,378.188982044049,378.476355490411,377.901608597688
2122,378.213982043581,378.501355579632,377.92660850753
2123,378.236982070044,378.524355684381,377.949608455706
2124,378.257982084408,378.545355820406,377.97060834841
2125,378.276982121254,378.564355890806,377.989608351703
2126,378.294982110296,378.582355974806,378.007608245786
2127,378.310982150958,378.598356070635,378.023608231281
2128,378.325982143762,378.613356125396,378.038608162128
2129,378.338982166262,378.62635626657,378.051608065954
2130,378.349982200577,378.637356346219,378.062608054935
2131,378.359982192301,378.647356411652,378.07260797295
2132,378.367982225992,378.655356539609,378.080607912374
2133,378.374982242716,378.662356538704,378.087607946728
2134,378.380982210916,378.668356681455,378.093607740376
2135,378.383982308711,378.671356776759,378.096607840664
2136,378.386982233385,378.674356820993,378.099607645777
2137,378.386982335646,378.674356970314,378.099607700977
2138,378.386982283317,378.674356951343,378.099607615291
2139,378.384982321035,378.672357106399,378.097607535672
2140,378.380982346532,378.668357197948,378.093607495116
2141,378.375982357846,378.663357233256,378.088607482437
2142,378.369982349455,378.657357316759,378.08260738215
2143,378.361982395046,378.649357418267,378.074607371825
2144,378.352982378719,378.640357475863,378.065607281575
2145,378.341982421184,378.629357597279,378.054607245088
2146,378.329982425876,378.617357625506,378.042607226246
2147,378.316982421629,378.604357705097,378.029607138161
2148,378.301982460488,378.58935782021,378.014607100766
2149,378.285982466374,378.573357850249,377.998607082498
2150,378.268982460818,378.556357929373,377.981606992263
2151,378.249982502757,378.537358042694,377.96260696282
2152,378.229982500781,378.517358081034,377.942606920528
2153,378.208982520483,378.496358137838,377.921606903128
2154,378.186982507818,378.474358207521,377.899606808114
2155,378.162982558725,378.450358320247,377.875606797203
2156,378.137982531577,378.425358372299,377.850606690855
2157,378.110982603994,378.398358484537,377.823606723451
2158,378.083982546319,378.371358461111,377.796606631527
2159,378.05498261367,378.342358613492,377.767606613848
2160,378.024982579558,378.312358644846,377.737606514269
2161,377.992982654995,378.280358771051,377.705606538939
2162,377.960982596835,378.248358735271,377.6736064584
2163,377.926982659492,378.214358901896,377.639606417087
2164,377.891982649288,378.179358910969,377.604606387607
2165,377.855982666856,378.143358989181,377.568606344531
2166,377.818982678799,378.106359031897,377.531606325701
2167,377.780982666199,378.068359103534,377.493606228864
2168,377.740982732778,378.028359218976,377.45360624658
2169,377.700982677098,377.988359180062,377.413606174133
2170,377.65898274068,377.946359355116,377.371606126244
2171,377.615982728162,377.903359355627,377.328606100697
2172,377.57198274826,377.859359440068,377.284606056452
2173,377.526982757575,377.814359479854,377.239606035297
2174,377.480982748323,377.768359550041,377.193605946605
2175,377.432982808425,377.720359673155,377.145605943695
2176,377.384982775773,377.672359617601,377.097605933946
2177,377.335982783912,377.623359734485,377.048605833339
2178,377.284982839776,377.572359832183,376.997605847369
2179,377.233982784665,377.521359794165,376.946605775165
2180,377.180982870395,377.468359974909,376.893605765881
2181,377.127982798619,377.415359887268,376.84060570997
2182,377.072982894103,377.360360099797,376.785605688409
2183,377.01798281631,377.305359990039,376.73060564258
2184,376.960982915771,377.248360219447,376.673605612094
2185,376.903982835121,377.191360095606,376.616605574636
2186,376.844982936826,377.132360337679,376.557605535974
2187,376.785982854268,377.073360201794,376.498605506742
2188,376.724982957639,377.012360455767,376.437605459512
2189,376.663982873953,376.951360307797,376.37660544011
2190,376.600982975726,376.888360574405,376.313605377048
2191,376.53798290964,376.825360412547,376.250605406733
2192,376.47398296323,376.761360608186,376.186605318274
2193,376.408982943953,376.696360568007,376.121605319898
2194,376.342982974233,376.630360691768,376.055605256699
2195,376.275982969977,376.563360699476,375.988605240479
2196,376.207982990486,376.495360790604,375.920605190368
2197,376.138982990875,376.426360820837,375.851605160912
2198,376.068983021629,376.356360896564,375.781605146693
2199,375.998982997199,376.286360849398,375.711605145
2200,375.927983007447,376.215360974094,375.640605040801
2201,375.854983049058,376.142361063117,375.567605034999
2202,375.781983030724,376.069361009785,375.494605051663
2203,375.707983048351,375.995361167952,375.42060492875
2204,375.632983064051,375.920361098043,375.34560503006
2205,375.55798304412,375.845361217617,375.270604870624
2206,375.480983088897,375.768361252818,375.193604924975
2207,375.403983072415,375.691361283199,375.116604861632
2208,375.325983086806,375.6133613251,375.038604848512
2209,375.24698309541,375.534361410011,374.959604780809
2210,375.166983116086,375.454361426717,374.879604805456
2211,375.086983102775,375.374361437677,374.799604767874
2212,375.005983116556,375.29336151379,374.718604719322
2213,374.923983126723,375.211361547949,374.636604705496
2214,374.840983134722,375.128361636228,374.553604633216
2215,374.756983157208,375.044361646292,374.469604668123
2216,374.672983141861,374.960361671079,374.385604612644
2217,374.587983157819,374.875361722543,374.300604593095
2218,374.501983164492,374.789361797193,374.214604531791
2219,374.414983187097,374.702361824382,374.127604549811
2220,374.327983173085,374.615361824479,374.040604521692
2221,374.239983184762,374.527361914669,373.952604454856
2222,374.150983208381,374.438361928996,373.863604487767
2223,374.061983190855,374.349361950353,373.774604431357
2224,373.9719832091,374.259362001979,373.684604416221
2225,373.880983212691,374.168362081327,373.593604344056
2226,373.788983240305,374.076362094999,373.501604385611
2227,373.696983218109,373.984362125587,373.40960431063
2228,373.603983250825,373.891362158865,373.316604342784
2229,373.510983229795,373.798362171442,373.223604288147
2230,373.416983249979,373.70436222842,373.129604271539
2231,373.321983251548,373.609362303983,373.034604199114
2232,373.225983282625,373.513362319076,372.938604246175
2233,373.129983254205,373.417362354803,372.842604153606
2234,373.032983298607,373.320362367733,372.74560422948
2235,372.93598324801,373.223362429097,372.648604066923
2236,372.836983335543,373.124362486823,372.549604184262
2237,372.738983257306,373.026362448171,372.451604066441
2238,372.638983324402,372.926362589471,372.351604059332
2239,372.538983318215,372.826362521447,372.251604114984
2240,372.438983279913,372.726362596242,372.151603963584
2241,372.336983366739,372.624362660261,372.049604073217
2242,372.235983285384,372.523362611668,371.948603959101
2243,372.132983356066,372.420362759489,371.845603952642
2244,372.029983347961,372.317362691202,371.742604004721
2245,371.926983308308,372.214362760937,371.639603855679
2246,371.821983401388,372.109362830286,371.53460397249
2247,371.717983305219,372.005362786402,371.430603824035
2248,371.611983414389,371.899362902241,371.324603926536
2249,371.506983319162,371.794362826982,371.219603811342
2250,371.3999834042,371.68736298273,371.112603825671
2251,371.292983372663,371.58036293314,371.005603812185
2252,371.185983398347,371.473362941995,370.898603854699
2253,371.079983374416,371.367362865384,370.792603883449
2254,370.974983376083,371.262362810205,370.687603941961
2255,370.870983338695,371.158362771042,370.583603906349
2256,370.766983386549,371.054362762247,370.479604010851
2257,370.664983312635,370.952362629914,370.377603995355
2258,370.562983352472,370.850362672666,370.275604032279
2259,370.461983322861,370.74936257892,370.174604066802
2260,370.361983325234,370.649362535172,370.074604115295
2261,370.262983293084,370.550362482546,369.975604103622
