year,data_mean_global,data_mean_nh,data_mean_sh
535,666.965026855469,675.049987792969,658.880065917969
536,667.574035644531,675.827758789062,659.320251464844
537,668.031005859375,676.435791015625,659.626281738281
538,668.341979980469,676.790954589844,659.89306640625
539,668.566040039062,677.041259765625,660.0908203125
540,668.904968261719,677.406433105469,660.403503417969
541,669.14404296875,677.671813964844,660.616271972656
542,669.449951171875,677.977783203125,660.922058105469
543,669.355041503906,677.72607421875,660.984008789062
544,669.3740234375,677.561584472656,661.186462402344
545,669.446960449219,677.451293945312,661.442626953125
546,669.256958007812,677.078186035156,661.435729980469
547,669.164184570312,676.926513671875,661.40185546875
548,670.216064453125,678.6669921875,661.76513671875
549,671.531005859375,680.796020507812,662.265991210938
550,672.700134277344,682.779113769531,662.621154785156
551,673.929809570312,684.740478515625,663.119201660156
552,674.123107910156,685.171020507812,663.0751953125
553,674.581970214844,685.783630371094,663.380310058594
554,674.983032226562,686.339050292969,663.627075195312
555,675.431030273438,686.941040039062,663.920959472656
556,675.834045410156,687.498291015625,664.169738769531
557,676.200012207031,688.018432617188,664.381591796875
558,676.568054199219,688.540588378906,664.595458984375
559,676.957946777344,689.053466796875,664.862426757812
560,677.02099609375,689.052368164062,664.989685058594
561,677.060974121094,688.996643066406,665.125366210938
562,677.093017578125,688.933044433594,665.252990722656
563,677.193054199219,688.937377929688,665.44873046875
564,677.299865722656,688.882080078125,665.717651367188
565,676.674987792969,687.696411132812,665.653625488281
566,676.102966308594,686.496215820312,665.709777832031
567,675.552978515625,685.318420410156,665.787536621094
568,675.023132324219,684.231201171875,665.815063476562
569,675.309936523438,684.384033203125,666.235900878906
570,675.483032226562,684.494689941406,666.471374511719
571,675.664978027344,684.613708496094,666.716247558594
572,675.736999511719,684.623107910156,666.850891113281
573,675.849975585938,684.673217773438,667.026794433594
574,675.987060546875,684.771423339844,667.202697753906
575,676.343017578125,685.231628417969,667.454406738281
576,676.654052734375,685.671142578125,667.636962890625
577,677,686.145324707031,667.854614257812
578,677.155090332031,686.428955078125,667.881225585938
579,677.52099609375,686.922912597656,668.119079589844
580,677.714050292969,687.244567871094,668.183471679688
581,677.903930664062,687.525085449219,668.282775878906
582,677.713012695312,687.199768066406,668.226257324219
583,677.460998535156,686.775146484375,668.146789550781
584,677.184020996094,686.325927734375,668.042114257812
585,676.913024902344,685.882446289062,667.943603515625
586,676.622924804688,685.379028320312,667.866821289062
587,675.904968261719,684.202209472656,667.607788085938
588,675.183959960938,682.980773925781,667.387145996094
589,674.456970214844,681.753662109375,667.160278320312
590,673.7470703125,680.599670410156,666.894470214844
591,673.573974609375,680.319458007812,666.828491210938
592,673.372985839844,680.068176269531,666.677795410156
593,673.193969726562,679.838500976562,666.549499511719
594,673.007995605469,679.602111816406,666.413879394531
595,672.79296875,679.336486816406,666.249450683594
596,672.580993652344,679.089599609375,666.072448730469
597,672.547973632812,679.114624023438,665.981323242188
598,672.453979492188,679.094665527344,665.813354492188
599,672.35400390625,679.068359375,665.6396484375
600,672.223022460938,679.01123046875,665.434753417969
601,672.111022949219,678.973022460938,665.248962402344
602,671.98095703125,678.916870117188,665.045104980469
603,671.77099609375,678.771667480469,664.770324707031
604,671.515991210938,678.527221679688,664.504760742188
605,671.2919921875,678.3046875,664.279296875
606,671.073974609375,678.088195800781,664.059753417969
607,670.763000488281,677.778747558594,663.747253417969
608,670.544982910156,677.562133789062,663.527893066406
609,670.29296875,677.311706542969,663.274230957031
610,670.003051757812,677.0361328125,662.969909667969
611,669.864990234375,676.990417480469,662.739501953125
612,669.655029296875,676.885803222656,662.424255371094
613,669.540954589844,676.877075195312,662.204895019531
614,669.418029785156,676.859375,661.976623535156
615,669.224914550781,676.744873046875,661.705017089844
616,668.759033203125,676.195617675781,661.322387695312
617,668.323974609375,675.650390625,660.997497558594
618,667.804016113281,675.020141601562,660.587951660156
619,667.383911132812,674.489868164062,660.278015136719
620,666.896057128906,673.93359375,659.858581542969
621,666.890991210938,674.112060546875,659.669921875
622,666.867004394531,674.313903808594,659.420104980469
623,666.802978515625,674.472778320312,659.133178710938
624,666.75,674.62548828125,658.87451171875
625,666.731018066406,674.809326171875,658.652709960938
626,666.690002441406,674.971130371094,658.408874511719
627,666.661987304688,675.14599609375,658.178039550781
628,666.635986328125,675.322814941406,657.94921875
629,666.609008789062,675.498657226562,657.719360351562
630,666.567016601562,675.659484863281,657.474548339844
631,666.567016601562,675.862243652344,657.271728515625
632,666.526977539062,676.025146484375,657.028869628906
633,666.369995117188,676.071044921875,656.6689453125
634,666.274047851562,676.19580078125,656.352355957031
635,666.47998046875,676.730163574219,656.229797363281
636,666.515014648438,677.11181640625,655.918212890625
637,666.677001953125,677.620239257812,655.733825683594
638,666.831970214844,678.116638183594,655.54736328125
639,666.9150390625,678.51025390625,655.31982421875
640,667.072998046875,678.973571777344,655.17236328125
641,667.118041992188,679.324096679688,654.911926269531
642,667.210998535156,679.722473144531,654.699584960938
643,667.341003417969,680.157897949219,654.524108886719
644,667.462036132812,680.584289550781,654.339782714844
645,667.56689453125,680.944885253906,654.188903808594
646,667.116027832031,680.451110839844,653.780944824219
647,666.719970703125,679.961853027344,653.478088378906
648,666.304016113281,679.452880859375,653.155090332031
649,665.862976074219,678.918823242188,652.80712890625
650,665.43798828125,678.400817871094,652.475158691406
651,665.02001953125,677.889770507812,652.150207519531
652,664.614013671875,677.398132324219,651.829833984375
653,664.244018554688,676.987060546875,651.500915527344
654,663.881958007812,676.584655761719,651.179321289062
655,663.432006835938,676.053161621094,650.810791015625
656,663.066040039062,675.598693847656,650.533386230469
657,663.014953613281,675.459045410156,650.570861816406
658,662.739013671875,675.094909667969,650.383117675781
659,662.502014160156,674.769409179688,650.234619140625
660,662.291015625,674.470031738281,650.111938476562
661,662.14306640625,674.233581542969,650.052490234375
662,662.176940917969,674.160400390625,650.193481445312
663,661.951049804688,673.716064453125,650.185974121094
664,661.743957519531,673.271667480469,650.216247558594
665,661.39404296875,672.684631347656,650.103454589844
666,661.218933105469,672.272155761719,650.165771484375
667,661.067138671875,671.930908203125,650.203369140625
668,661.514953613281,672.4755859375,650.554321289062
669,661.746032714844,672.852233886719,650.639892578125
670,662.0830078125,673.334106445312,650.831909179688
671,662.382019042969,673.778442382812,650.985595703125
672,662.638000488281,674.166687011719,651.109313964844
673,662.701965332031,674.286071777344,651.117919921875
674,662.648010253906,674.274475097656,651.021545410156
675,662.64599609375,674.314758300781,650.977233886719
676,662.5419921875,674.253234863281,650.830749511719
677,662.515075683594,674.336853027344,650.693298339844
678,662.973999023438,675.316040039062,650.632019042969
679,663.482055664062,676.413024902344,650.551086425781
680,664.152038574219,677.671691894531,650.632385253906
681,664.766967773438,678.836181640625,650.69775390625
682,664.947998046875,679.330078125,650.56591796875
683,665.091003417969,679.746154785156,650.435913085938
684,665.301025390625,680.229309082031,650.372741699219
685,665.584045410156,680.785400390625,650.382690429688
686,665.942016601562,681.41650390625,650.467590332031
687,666.314086914062,682.061645507812,650.566467285156
688,666.798950195312,682.77197265625,650.825927734375
689,666.805053710938,682.718017578125,650.892028808594
690,666.828979492188,682.633605957031,651.0244140625
691,666.869018554688,682.565673828125,651.17236328125
692,666.989990234375,682.578369140625,651.401672363281
693,667.108032226562,682.58837890625,651.627685546875
694,667.242004394531,682.586242675781,651.897705078125
695,667.153991699219,682.195556640625,652.112426757812
696,666.988037109375,681.698669433594,652.27734375
697,666.906005859375,681.285827636719,652.526123046875
698,666.791015625,680.840087890625,652.741943359375
699,666.664978027344,680.383239746094,652.94677734375
700,666.534057617188,679.921325683594,653.146789550781
701,666.423950195312,679.480773925781,653.367126464844
702,666.303100585938,679.077880859375,653.528381347656
703,666.66796875,679.456481933594,653.879455566406
704,667.057067871094,679.908020019531,654.206176757812
705,667.433959960938,680.348266601562,654.519592285156
706,667.822143554688,680.798461914062,654.845825195312
707,668.192810058594,681.233154296875,655.152526855469
708,668.539489746094,681.868591308594,655.21044921875
709,671.217956542969,686.202026367188,656.233947753906
710,673.931335449219,690.797302246094,657.065307617188
711,676.640625,695.136291503906,658.144958496094
712,676.637084960938,695.236877441406,658.037292480469
713,676.671020507812,695.119445800781,658.222595214844
714,676.709045410156,695.006286621094,658.411743164062
715,676.760986328125,694.907165527344,658.614868164062
716,676.782043457031,694.776977539062,658.787109375
717,676.864990234375,694.708801269531,659.021240234375
718,676.885986328125,694.578674316406,659.193359375
719,676.843017578125,694.384521484375,659.301452636719
720,676.681030273438,694.071411132812,659.290588378906
721,676.513977050781,693.753234863281,659.274719238281
722,676.378051757812,693.466064453125,659.289978027344
723,676.322998046875,693.259826660156,659.386108398438
724,676.168029785156,692.953735351562,659.382263183594
725,676.033996582031,692.668579101562,659.3994140625
726,675.887023925781,692.370422363281,659.403564453125
727,675.66796875,692.000305175781,659.335693359375
728,675.440002441406,691.62109375,659.258911132812
729,675.267944335938,691.297912597656,659.237976074219
730,675.001037597656,690.879821777344,659.122253417969
731,674.881958007812,690.609558105469,659.154357910156
732,674.596008300781,690.172546386719,659.01953125
733,674.403015136719,689.828247070312,658.977722167969
734,674.27099609375,689.545104980469,658.996948242188
735,674.151000976562,689.27392578125,659.028076171875
736,674.035034179688,689.006713867188,659.063354492188
737,673.913879394531,688.685424804688,659.142395019531
738,673.286987304688,687.5634765625,659.010498046875
739,672.684020996094,686.415954589844,658.952026367188
740,672.138977050781,685.326477050781,658.951477050781
741,671.554992675781,684.198059082031,658.911926269531
742,671.049987792969,683.148559570312,658.951416015625
743,670.523986816406,682.078186035156,658.969787597656
744,669.981994628906,680.99169921875,658.972229003906
745,669.484985351562,679.957336425781,659.012634277344
746,669.048950195312,679.026489257812,659.071472167969
747,668.602966308594,678.0927734375,659.113220214844
748,668.161987304688,677.164001464844,659.159973144531
749,667.689025878906,676.203247070312,659.174743652344
750,667.162902832031,675.189514160156,659.136291503906
751,666.539184570312,674.176574707031,658.901733398438
752,666.888000488281,674.727355957031,659.048583984375
753,667.252014160156,675.392883300781,659.111145019531
754,667.463012695312,675.905151367188,659.020935058594
755,667.834045410156,676.577209472656,659.0908203125
756,668.0869140625,677.073852539062,659.099975585938
757,667.739990234375,676.624572753906,658.855407714844
758,667.264038085938,675.988159179688,658.539855957031
759,666.920959472656,675.484619140625,658.357299804688
760,666.518005371094,674.921325683594,658.114685058594
761,666.098937988281,674.323425292969,657.874450683594
762,665.495971679688,673.431091308594,657.560913085938
763,664.890991210938,672.518005371094,657.263916015625
764,664.328979492188,671.648010253906,657.009887695312
765,663.669006347656,670.68017578125,656.657836914062
766,663.111022949219,669.846862792969,656.375183105469
767,662.893005371094,669.550231933594,656.235778808594
768,662.676025390625,669.287658691406,656.064331054688
769,662.446960449219,669.013000488281,655.880981445312
770,662.233032226562,668.760375976562,655.705627441406
771,662.091003417969,668.62158203125,655.560424804688
772,661.976989746094,668.517822265625,655.436157226562
773,661.848022460938,668.399108886719,655.296875
774,661.732971191406,668.294311523438,655.171630859375
775,661.609008789062,668.180603027344,655.037414550781
776,661.497985839844,668.079833984375,654.916137695312
777,661.406005859375,668.010070800781,654.801940917969
778,661.372009277344,668.070007324219,654.673950195312
779,661.393005371094,668.197021484375,654.588989257812
780,661.43701171875,668.346984863281,654.526977539062
781,661.494018554688,668.510009765625,654.47802734375
782,661.572998046875,668.692199707031,654.453857421875
783,661.658996582031,668.864440917969,654.453552246094
784,661.677978515625,668.966918945312,654.389038085938
785,661.625061035156,668.997436523438,654.252624511719
786,661.684936523438,669.116394042969,654.253540039062
787,661.424011230469,668.768920898438,654.0791015625
788,661.169982910156,668.403564453125,653.936401367188
789,660.8330078125,667.955688476562,653.710388183594
790,660.614929199219,667.626159667969,653.603637695312
791,660.213195800781,667.228271484375,653.198120117188
792,661.164001464844,668.869201660156,653.458801269531
793,662.085083007812,670.597351074219,653.572814941406
794,662.988037109375,672.305908203125,653.670166015625
795,663.867126464844,673.991638183594,653.742614746094
796,665.013916015625,675.8896484375,654.13818359375
797,665.381042480469,676.683044433594,654.079040527344
798,665.780029296875,677.452026367188,654.108032226562
799,666.226013183594,678.269287109375,654.182739257812
800,666.592041015625,679.005798339844,654.178344726562
