year,data_mean_global,data_mean_nh,data_mean_sh
2015,1841.93271636075,1889.71326719077,1794.15216553073
2016,1851.59416020001,1900.66220462769,1802.52611577233
2017,1874.50944281279,1922.32037166264,1826.69851396294
2018,1889.79128878345,1937.53127253181,1842.05130503509
2019,1905.45093505088,1953.36598084393,1857.53588925783
2020,1921.4410335411,1969.52948056999,1873.3525865122
2021,1937.74103536197,1985.98549294573,1889.4965777782
2022,1954.37107529877,2002.768698186,1905.97345241154
2023,1971.40109156917,2019.9518479146,1922.85033522374
2024,1988.79111154806,2037.49503541836,1940.08718767776
2025,2006.51112942386,2055.36823245623,1957.6540263915
2026,2024.53114407031,2073.54144744201,1975.52084069862
2027,2042.82116176602,2091.98467709949,1993.65764643256
2028,2061.37117531605,2110.68790847945,2012.05444215264
2029,2080.15118652568,2129.62116072638,2030.68121232497
2030,2099.14120314614,2148.76127690155,2049.52112939073
2031,2118.32119693039,2168.07255707845,2068.56983678233
2032,2137.55118201645,2187.4307877529,2087.67157628
2033,2156.70117896613,2206.70908492518,2106.69327300708
2034,2175.76118041988,2225.89737197507,2125.62498886469
2035,2194.75117515055,2245.01564800833,2144.48670229278
2036,2213.66117542625,2264.05393420426,2163.26841664825
2037,2232.50117246743,2283.02221075169,2181.98013418317
2038,2251.27117193673,2301.92048966062,2200.62185421284
2039,2269.97116660375,2320.74876761594,2219.19356559156
2040,2288.59116862183,2339.49676918512,2237.68556805853
2041,2307.15116614394,2358.18304377483,2256.11928851305
2042,2325.65116598488,2376.80903908222,2274.49329288755
2043,2344.10116775698,2395.38502598604,2292.81730952792
2044,2362.51116424299,2413.92100724705,2311.10132123894
2045,2380.8711668945,2432.40699849059,2329.33533529841
2046,2399.19116317195,2450.85297818402,2347.52934815987
2047,2417.46116572929,2469.24897009869,2365.6733613599
2048,2435.69116245578,2487.60494946816,2383.77737544339
2049,2453.87116341212,2505.91094080654,2401.8313860177
2050,2472.00115912696,2524.16689671257,2419.83542154136
2051,2490.08116969396,2542.37267746933,2437.78966191858
2052,2508.18117889733,2560.59837530813,2455.76398248653
2053,2526.34118079534,2578.88405821531,2473.79830337537
2054,2544.55118946428,2597.21975508061,2491.88262384795
2055,2562.82119021559,2615.61543665801,2510.02694377317
2056,2581.13119586891,2634.05113968699,2528.21125205084
2057,2599.48119867815,2652.52683405582,2546.43556330048
2058,2617.86119997208,2671.03253800041,2564.68986194375
2059,2636.26120692898,2689.55824852408,2582.96416533388
2060,2654.6912044171,2708.11447674532,2601.26793208887
2061,2673.1312148982,2726.6839214767,2619.57850831971
2062,2691.61121419876,2745.29386120533,2637.92856719219
2063,2710.12122464208,2763.93382740684,2656.30862187732
2064,2728.68122197043,2782.62376159192,2674.73868234893
2065,2747.26122915734,2801.33373514373,2693.18872317095
2066,2765.87123062473,2820.07368323335,2711.66877801612
2067,2784.50123197385,2838.83364857158,2730.16881537612
2068,2803.14123812608,2857.60361725982,2748.67885899234
2069,2821.80123447677,2876.39357150834,2767.20889744519
2070,2840.45124095433,2895.1740826732,2785.72839923547
2071,2859.11124285215,2913.96769984742,2804.25478585689
2072,2877.79125215129,2932.78185023561,2822.80065406696
2073,2896.52125520931,2951.64596903393,2841.39654138469
2074,2915.2912558109,2970.55010618967,2860.03240543212
2075,2934.08126429852,2989.47425557311,2878.68827302394
2076,2952.91126208367,3008.43837812236,2897.38414604498
2077,2971.75126827333,3027.41254041491,2916.08999613175
2078,2990.61126932269,3046.4066741196,2934.81586452577
2079,3009.48127031895,3065.41082877469,2953.55171186321
2080,3028.35127617054,3084.41342103677,2972.2891313043
2081,3047.22125941432,3103.40661562496,2991.03590320368
2082,3065.96123831599,3122.26834895406,3009.65412767792
2083,3084.46122926723,3140.89013060934,3028.03232792513
2084,3102.73121868837,3159.28188747919,3046.18054989756
2085,3120.78121016848,3177.45365102664,3064.10876931032
2086,3138.62119885694,3195.41539995467,3081.82699775921
2087,3156.25119412937,3213.16716178807,3099.33522647067
2088,3173.70118477773,3230.73888957537,3116.66347998008
2089,3190.97117829091,3248.13063675455,3133.81171982727
2090,3208.0711716631,3265.35253417712,3150.78980914908
2091,3225.01116508535,3282.41545354168,3167.60687662901
2092,3241.80116496702,3299.32853712523,3184.27379280881
2093,3258.48115867982,3316.13158715773,3200.83073020192
2094,3275.04115333231,3332.81466210629,3217.26764455834
