year,data_mean_global,data_mean_nh,data_mean_sh
2015,328.179607071873,328.476222451196,327.882991692549
2016,329.075974807201,329.363317499032,328.788632115371
2017,329.781975755259,330.069316540804,329.494634969713
2018,330.528974640677,330.816314750255,330.241634531099
2019,331.27597484578,331.563315143882,330.988634547678
2020,332.02097483687,332.308315226655,331.733634447086
2021,332.765974932443,333.053315134295,332.478634730591
2022,333.52097489011,333.808314320543,333.233635459678
2023,334.294974679228,334.58231318512,334.007636173336
2024,335.088974482513,335.376312062498,334.801636902528
2025,335.902974272148,336.190310945788,335.615637598508
2026,336.735974081091,337.023309916131,336.448638246051
2027,337.587973908309,337.875308802471,337.300639014147
2028,338.459973676488,338.747307715851,338.172639637125
2029,339.349973517291,339.637306721476,339.062640313106
2030,340.258973326756,340.546305616521,339.971641036991
2031,341.186973078681,341.474304576653,340.89964158071
2032,342.126972881255,342.41430414736,341.83964161515
2033,343.070972913654,343.358303918906,342.783641908402
2034,344.020972796721,344.308303603773,343.733641989669
2035,344.974972806124,345.262303365598,344.68764224665
2036,345.934972706629,346.222303017934,345.647642395323
2037,346.898972672371,347.18630285246,346.611642492283
2038,347.866972664921,348.154302565189,347.579642764654
2039,348.840972558911,349.128302253376,348.553642864446
2040,349.818972557187,350.106302027966,349.531643086408
2041,350.801972461007,351.08930175358,350.514643168433
2042,351.786972435879,352.074301713888,351.499643157869
2043,352.771972442999,353.059301723473,352.484643162525
2044,353.756972438477,354.044301724386,353.469643152568
2045,354.741972445924,355.029301714224,354.454643177624
2046,355.726972423164,356.014301738806,355.439643107522
2047,356.710972470518,356.998301783631,356.423643157405
2048,357.695972436967,357.983301694177,357.408643179758
2049,358.680972423584,358.968301748079,358.39364309909
2050,359.664972477758,359.952301772285,359.377643183232
2051,360.649972406837,360.937301716315,360.36264309736
2052,361.632972456585,361.920301885739,361.345643027431
2053,362.613972463483,362.901301978846,362.32664294812
2054,363.59297249493,363.880302091288,363.305642898572
2055,364.569972487756,364.857302220574,364.282642754938
2056,365.543972565583,365.831302379872,365.256642751295
2057,366.516972521812,366.80430241573,366.229642627895
2058,367.486972591515,367.774302626789,367.19964255624
2059,368.454972592505,368.742302700763,368.167642484248
2060,369.420972623133,369.708302826687,369.133642419579
2061,370.384972627189,370.672302937591,370.097642316788
2062,371.34597265671,371.633303131232,371.058642182188
2063,372.302972682127,372.590303374543,372.015641989712
2064,373.254972754305,373.54230366346,372.96764184515
2065,374.202972782641,374.49030386108,373.915641704202
2066,375.146972828059,375.434304097566,374.859641558553
2067,376.086972865615,376.374304316105,375.799641415125
2068,377.022972907034,377.310304543019,376.735641271049
2069,377.954972945983,378.242304766285,377.667641125682
2070,378.88297298863,379.17030499003,378.59564098723
2071,379.806973017861,380.094305216718,379.519640819003
2072,380.72597305754,381.013305525744,380.438640589336
2073,381.638973141549,381.926305867432,381.351640415666
2074,382.546973161927,382.834306124392,382.259640199461
2075,383.448973251639,383.736306495433,383.161640007844
2076,384.345973287353,384.633306730815,384.05863984389
2077,385.237973333224,385.525307037794,384.950639628655
2078,386.12397339001,386.411307387575,385.836639392445
2079,387.003973484984,387.291307710099,386.716639259869
2080,387.879973472518,388.167307894452,387.592639050584
2081,388.749973587119,389.03730830408,388.462638870159
2082,389.615973611179,389.90330842848,389.328638793878
2083,390.478973630348,390.766308631081,390.191638629615
2084,391.337973708826,391.625308857958,391.050638559693
2085,392.194973676358,392.48230891593,391.907638436787
