Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-09-30,"4,184","15,991",7.54,9,652,254,45,72,"2,504"
2018-09-29,"3,043","7,043",3.32,5,788,218,4,5,"1,220"
2018-09-28,"2,970","4,531",2.14,4,775,235,0,0,"1,068"
2018-09-27,"3,348","9,751",4.6,7,849,167,10,42,"1,427"
2018-09-26,"3,613","10,466",4.94,9,707,163,3,63,"1,677"
2018-09-25,"2,820","5,219",2.46,6,767,142,2,11,853
2018-09-24,"2,771","4,500",2.12,7,841,167,0,0,822
2018-09-23,"2,787","5,807",2.74,12,773,46,7,46,745
2018-09-22,"5,199","16,219",7.65,10,581,319,78,98,"3,596"
2018-09-21,"3,105","8,185",3.86,9,797,163,6,26,"1,172"
2018-09-20,"3,517","9,920",4.68,8,844,156,10,56,"1,565"
2018-09-19,"3,044","7,034",3.32,14,768,218,2,8,"1,195"
2018-09-18,"2,997","6,247",2.95,11,866,196,1,11,"1,074"
2018-09-17,"2,952","5,628",2.65,2,990,134,24,13,985
2018-09-16,"3,344","9,015",4.25,102,586,184,30,38,"1,494"
2018-09-15,"3,180","9,445",4.45,77,849,134,23,51,"1,287"
2018-09-14,"3,080","7,021",3.31,3,871,179,18,7,"1,125"
2018-09-13,"3,044","6,480",3.06,10,885,190,1,13,"1,118"
2018-09-12,"3,047","7,512",3.54,6,676,179,17,13,"1,175"
2018-09-11,"2,824","4,446",2.1,1,781,154,6,4,829
2018-09-10,"2,977","5,951",2.81,18,835,158,10,4,"1,002"
2018-09-09,"3,682","9,360",4.41,9,734,234,22,46,"1,872"
2018-09-08,"4,031","13,798",6.65,16,634,237,16,76,"2,230"
2018-09-07,"3,829","9,591",4.52,7,683,242,20,43,"1,922"
2018-09-06,"2,907","5,641",2.66,5,746,195,0,0,983
2018-09-05,"3,395","7,943",3.86,18,"1,040",184,16,33,"1,514"
2018-09-04,"3,201","7,343",3.46,5,631,269,6,3,"1,374"
2018-09-03,"2,936","4,743",2.24,6,754,155,8,15,915
2018-09-02,"2,918","3,181",1.5,6,872,163,0,0,811
2018-09-01,"3,020","3,952",1.86,7,798,133,13,5,852
2018-08-31,"4,415","15,415",7.46,17,744,211,8,104,"2,640"
2018-08-30,"3,253","6,682",3.15,7,793,234,14,9,"1,389"
2018-08-29,"3,222","8,559",4.04,16,853,166,4,35,"1,266"
2018-08-28,"3,757","12,569",5.93,14,717,218,8,58,"1,874"
2018-08-27,"4,458","15,714",7.48,15,608,259,9,96,"2,692"
2018-08-26,799,207,0.1,1,28,13,0,0,51
2018-08-25,"3,719","4,054",1.91,7,"1,190",204,23,23,"1,731"
2018-08-24,"2,168",68,0.03,0,994,7,0,0,32
2018-08-23,"4,232","14,696",6.93,11,653,210,18,79,"2,261"
2018-08-22,"3,811","8,678",4.09,5,845,200,13,48,"1,852"
2018-08-21,"3,393","6,274",2.96,4,689,212,6,8,"1,319"
2018-08-20,"4,041","11,763",5.55,3,624,239,1,64,"2,190"
2018-08-19,"4,381","13,461",6.35,16,796,243,30,83,"2,595"
2018-08-18,"2,921","4,657",2.2,8,551,198,0,0,972
2018-08-17,"4,610","16,482",7.77,11,608,198,9,125,"2,686"
2018-08-16,"3,490","8,039",3.79,18,877,311,7,6,"1,678"
2018-08-15,"4,079","12,259",5.78,8,704,213,23,56,"2,158"
2018-08-14,"3,454","8,448",3.98,11,719,264,9,12,"1,598"
2018-08-13,"4,196","17,014",8.02,17,771,222,25,98,"2,424"
2018-08-12,"4,011","11,193",5.28,6,585,257,21,57,"2,224"
2018-08-11,"4,392","17,519",8.26,21,448,260,20,94,"2,616"
2018-08-10,"3,667","7,470",3.52,2,641,293,9,14,"1,730"
2018-08-09,"4,339","15,635",7.37,13,"1,061",285,17,77,"2,566"
2018-08-08,"3,341","7,772",3.67,12,724,220,13,9,"1,375"
2018-08-07,"3,152","6,558",3.09,6,777,223,0,0,"1,185"
2018-08-06,"3,150","6,185",2.92,7,775,210,0,0,"1,121"
2018-08-05,"4,818","18,565",8.76,29,561,272,31,113,"3,106"
2018-08-04,"4,376","17,126",8.08,78,585,206,17,124,"2,584"
2018-08-03,"4,762","18,215",8.59,12,607,247,17,114,"2,958"
2018-08-02,"3,968","9,629",4.54,4,924,186,43,51,"2,008"
2018-08-01,"3,987","12,157",5.73,7,786,228,26,45,"2,079"
2018-07-31,"3,800","8,295",3.91,4,688,237,10,22,"1,757"
2018-07-30,"2,212",357,0.17,1,947,17,0,0,85
2018-07-29,"3,316","6,450",3.04,18,"1,211",192,17,20,"1,382"
2018-07-28,"3,358","8,073",3.81,5,674,236,19,9,"1,481"
2018-07-27,"4,618","16,306",7.73,18,634,244,29,111,"2,832"
2018-07-26,"3,864","12,467",5.88,10,704,214,11,58,"1,962"
2018-07-25,"3,069","5,666",2.67,8,"1,253",176,4,7,"1,062"
2018-07-24,"3,510","9,215",4.35,6,"1,203",193,15,29,"1,551"
2018-07-23,"3,553","9,203",4.34,5,748,204,23,31,"1,597"
2018-07-22,"3,883","13,418",6.33,19,839,210,16,69,"2,015"
2018-07-21,"3,983","12,279",5.79,10,569,184,37,83,"2,162"
2018-07-20,"3,110","6,680",3.15,3,"1,262",136,28,14,"1,172"
2018-07-19,"3,993","9,484",4.47,4,"1,116",243,57,24,"2,093"
2018-07-18,"3,509","7,504",3.54,4,754,222,20,3,"1,502"
2018-07-17,"3,760","8,377",3.95,12,646,258,8,25,"1,803"
2018-07-16,"4,037","10,551",4.98,4,714,204,51,47,"2,084"
2018-07-15,"3,315","6,077",2.87,10,654,169,29,20,"1,354"
2018-07-14,"3,622","11,239",5.3,10,709,203,39,35,"1,770"
2018-07-13,"3,641","7,432",3.51,1,798,206,32,27,"1,627"
2018-07-12,"3,750","7,520",3.55,1,576,294,0,0,"1,787"
2018-07-11,"3,553","6,997",3.3,7,701,214,21,14,"1,495"
2018-07-10,"3,562","7,253",3.42,5,790,228,4,21,"1,530"
2018-07-09,"3,476","6,694",3.16,6,673,240,9,11,"1,457"
2018-07-08,"3,149","5,221",2.46,5,821,215,11,3,"1,196"
2018-07-07,"3,275","6,775",3.2,4,"1,050",133,52,14,"1,289"
2018-07-06,"2,144",0,0,0,"1,440",0,0,0,0
2018-07-05,"2,153",0,0,0,"1,439",1,0,0,10
2018-07-04,"2,183",0,0,0,"1,438",2,0,0,42
2018-07-03,"2,144",0,0,0,"1,440",0,0,0,0
2018-07-02,"2,204",172,0.08,0,"1,024",12,0,0,67
2018-07-01,"3,090","4,714",2.22,4,"1,005",232,0,0,"1,125"
2018-06-30,"2,145",0,0,0,"1,440",0,0,0,0
2018-06-29,"2,180",0,0,0,"1,437",3,0,0,39
2018-06-28,"2,145",0,0,0,"1,440",0,0,0,0
2018-06-27,"2,145",0,0,0,"1,440",0,0,0,0
2018-06-26,"2,144",0,0,0,"1,440",0,0,0,0
2018-06-25,"3,127","3,810",1.8,1,768,183,8,0,"1,032"
2018-06-24,"3,355","5,209",2.46,2,"1,121",243,0,10,"1,450"
2018-06-23,"3,134","2,996",1.41,2,801,130,10,18,"1,079"
2018-06-22,"3,290","5,805",2.74,3,"1,179",235,2,9,"1,278"
2018-06-21,"3,430","6,480",3.06,4,654,235,18,3,"1,388"
2018-06-20,"3,256","5,665",2.67,2,722,219,0,0,"1,211"
2018-06-19,"3,560","6,055",2.86,2,686,246,15,4,"1,500"
2018-06-18,"3,385","6,189",2.92,1,744,224,5,6,"1,298"
2018-06-17,"2,940","3,544",1.67,6,862,132,9,1,791
2018-06-16,"3,313","7,806",3.68,15,749,237,18,7,"1,422"
2018-06-15,"3,422","7,249",3.42,14,693,275,11,8,"1,586"
2018-06-14,"3,533","8,316",3.92,10,591,287,22,1,"1,684"
